Ord,title,url,research
14,The quest for narrow admissible tuples,http://sbseminar.wordpress.com/2013/07/02/the-quest-for-narrow-admissible-tuples/,True
15,The distribution of primes in doubly densely divisible moduli,http://terrytao.wordpress.com/2013/07/07/the-distribution-of-primes-in-doubly-densely-divisible-moduli/,True
16,An improved Type I estimate,http://terrytao.wordpress.com/2013/07/27/an-improved-type-i-estimate/,True
17,Polymath8: Writing the paper,http://terrytao.wordpress.com/2013/08/17/polymath8-writing-the-paper/,False
18,"Polymath8: Writing the paper, II",http://terrytao.wordpress.com/2013/09/02/polymath8-writing-the-paper-ii/,False
19,"Polymath8: Writing the paper, III",http://terrytao.wordpress.com/2013/09/22/polymath8-writing-the-paper-iii/,False
20,"Polymath8: Writing the paper, IV",http://terrytao.wordpress.com/2013/10/15/polymath8-writing-the-paper-iv/,False
21,"Polymath8: Writing the first paper, V, and a look ahead",http://terrytao.wordpress.com/2013/11/17/polymath8-writing-the-first-paper-v-and-a-look-ahead/,False
22,"Polymath8b: Bounded intervals with many primes, after Maynard",http://terrytao.wordpress.com/2013/11/19/polymath8b-bounded-intervals-with-many-primes-after-maynard/,True
23,"Polymath8b, II: Optimising the variational problem and the sieve",http://terrytao.wordpress.com/2013/11/22/polymath8b-ii-optimising-the-variational-problem-and-the-sieve/,True
24,"Polymath8b, III: Numerical optimisation of the variational problem, and a search for new sieves",http://terrytao.wordpress.com/2013/12/08/polymath8b-iii-numerical-optimisation-of-the-variational-problem-and-a-search-for-new-sieves/,True
25,"Polymath8b, IV: Enlarging the sieve support, more efficient numerics, and explicit asymptotics",http://terrytao.wordpress.com/2013/12/20/polymath8b-iv-enlarging-the-sieve-support-more-efficient-numerics-and-explicit-asymptotics/,True
26,"Polymath8b, V: Stretching the sieve support further",http://terrytao.wordpress.com/2014/01/08/polymath8b-v-stretching-the-sieve-support-further/,True
27,"Polymath8b, VI: A low dimensional variational problem",http://terrytao.wordpress.com/2014/01/17/polymath8b-vi-a-low-dimensional-variational-problem/,True
28,"Polymath8b, VII: Using the generalised Elliott-Halberstam hypothesis to enlarge the sieve support yet further",http://terrytao.wordpress.com/2014/01/28/polymath8b-vii-using-the-generalised-elliott-halberstam-hypothesis-to-enlarge-the-sieve-support-yet-further/,True
29,"“New equidistribution estimates of Zhang type, and bounded gaps between primes” – and a retrospective",http://terrytao.wordpress.com/2014/02/07/new-equidistribution-estimates-of-zhang-type-and-bounded-gaps-between-primes-and-a-retrospective/,False
30,"Polymath8b, VIII: Time to start writing up the results?",http://terrytao.wordpress.com/2014/02/09/polymath8b-viii-time-to-start-writing-up-the-results/,True
31,"Polymath8b, IX: Large quadratic programs",http://terrytao.wordpress.com/2014/02/21/polymath8b-ix-large-quadratic-programs/,True
32,"Polymath8b, X: writing the paper, and chasing down loose ends",http://terrytao.wordpress.com/2014/04/14/polymath8b-x-writing-the-paper-and-chasing-down-loose-ends/,True
33,"Polymath 8b, XI: Finishing up the paper",http://terrytao.wordpress.com/2014/05/17/polymath-8b-xi-finishing-up-the-paper/,True
34,Polymath8: wrapping up,http://terrytao.wordpress.com/2014/06/19/polymath8-wrapping-up/,False
35,"Variants of the Selberg sieve, and bounded intervals containing many primes",http://terrytao.wordpress.com/2014/07/20/variants-of-the-selberg-sieve-and-bounded-intervals-containing-many-primes/,False
36,The “bounded gaps between primes” Polymath project – a retrospective,http://terrytao.wordpress.com/2014/09/30/the-bounded-gaps-between-primes-polymath-project-a-retrospective/,False
